frase,autor
É fácil amar os que estão longe. Mas nem sempre é fácil amar os que vivem ao nosso lado.,Madre Teresa de Calcutá
"Diplomas, títulos, PhDs! A natureza, ao fazer um ser humano competente, por acaso consulta faculdades?",Millôr Fernandes
Quem mata o tempo não é um assassino. É um suicida.,Millôr Fernandes
"Temos de ir à procura das pessoas, porque podem ter fome de pão ou de amizade.",Madre Teresa de Calcutá
"Disfarçamos nosso abandono com frases ousadas e sem verdade alguma. O que a gente gostaria de dizer, mesmo, é: me dê sua mão.",Martha Medeiros
Lágrimas não são argumentos.,Machado de Assis
"Quero estar onde minha sombra estiver, se lá é que estiverem os teus olhos.",José Saramago
Liberdade é o direito de fazer tudo o que as leis permitem.,Barão de Montesquieu
Espera de teu filho o que fizeste com teu pai,Tales de Mileto
"Frases! Frases! Como se o conforto de todos, diante de um fato que não se explica, diante de um mal que nos consome, não fosse encontrar uma palavra que não diz nada e na qual nos tranquilizamos!",Luigi Pirandello
"A confiança é ato de fé, e esta dispensa raciocínio.",Carlos Drummond de Andrade
"A liberdade é um dos dons mais preciosos que o céu deu aos homens. Nada a iguala, nem os tesouros que a terra encerra no seu seio, nem os que o mar guarda nos seus abismos. Pela liberdade, tanto quanto pela honra, pode e deve aventurar-se a nossa vida.",Miguel de Cervantes
Quem julga as pessoas não tem tempo para amá-las.,Madre Teresa de Calcutá
"O amor, porém, é contagioso, com especialidade na solidão, onde a alma tem necessidade de uma companheira, e quando de todo não a encontra, divide-se ela própria para ser duas: uma, esperança; outra, saudade.",José de Alencar
"Quando as longas conversastransformam em diálogos de apenas duas frases,é o silêncio por completo que se aproxima...",Augusto Branco
Esta é a verdade: a vida começa quando a gente compreende que ela não dura muito.,Millôr Fernandes
Está morto: podemos elogiá-lo à vontade.,Machado de Assis
"Se você agir sempre com dignidade, pode não melhorar o mundo, mas uma coisa é certa: haverá na Terra um canalha a menos.",Millôr Fernandes
A vida é cheia de obrigações que a gente cumpre por mais vontade que tenha de as infringir deslavadamente.,Machado de Assis
"A pior das loucuras é, sem dúvida, pretender ser sensato num mundo de doidos.",Erasmo de Roterdã
As dificuldades são o aço estrutural que entra na construção do caráter.,Carlos Drummond de Andrade
Não há dor que o sono não consiga vencer.,Honoré de Balzac
Quando todo mundo quer saber é porque ninguém tem nada com isso.,Millôr
O que o dinheiro faz por nós não é nada em comparação com o que a gente faz por ele.,Millôr Fernandes
Quem acredita levianamente tem um coração leviano.,José Saramago
"As palavras de amizade e conforto podem ser curtas e sucintas, mas o seu eco é infindável.",Madre Teresa de Calcutá
"Necessitamos sempre de ambicionar alguma coisa que, alcançada, não nos torna sem ambição.",Carlos Drummond de Andrade
"O medo é um preconceito dos nervos. E um preconceito, desfaz-se - basta a simples reflexão.",Machado de Assis
"Uma prova de que Deus esteja conosco não é o fato de que não venhamos a cair, mas que nos levantemos depois de cada queda.",Santa Teresa de Ávila
Há duas coisas que ninguém perdoa: nossas vitórias e nossos fracassos,Millôr
Os bons vi sempre passarNo mundo graves tormentos;E para mais me espantarOs maus vi sempre nadarEm mar de contentamentos.,Luís de Camões
"Antes eu só engolia palavras,agora engulo expressões,daqui a pouco estarei a engolir frases inteiras,até o momento em que não escreverei mais sequer uma vírgula...",Augusto Branco
Não levante a espada sobre a cabeça de quem te pediu perdão.,Machado de Assis
"O desejo do homem é pela mulher, mas o desejo da mulher é pelo desejo do homem.",Madame de Staël
"Há certo gosto em pensar sozinho. É ato individual, como nascer e morrer.",Carlos Drummond de Andrade
O dinheiro não dá felicidade. Mas paga tudo o que ela gasta.,Millôr
As pessoas se transformam em máquinas de fazer de dinheiro ou que tentam fazer dinheiro.,José Saramago
"A injustiça que se faz a um, é uma ameaça que se faz a todos.",Barão de Montesquieu
O fraco rei faz fraca a forte gente.,Luís de Camões
"Dizem que o Governo, depois de proibir ao cidadão comum usar armas, vai proibir ao Exército possuir armas de uso exclusivo dos traficantes.",Millôr Fernandes
"Quando eu me pergunto quem sou eu, sou o que pergunta ou o que não sabe a resposta?",Geraldo Eustáquio de Souza
Este mundo só é chato em duas ocasiões: na guerra e na paz.,Millôr Fernandes
A amizade é um meio de nos isolarmos da humanidade cultivando algumas pessoas.,Carlos Drummond de Andrade
Ser feliz sem motivo é a mais autêntica forma de felicidade.,Carlos Drummond de Andrade
O futebol é o ópio do povo e o narcotráfico da mídia.,Millôr Fernandes
Quem se curva diante dos opressores mostra o traseiro para os oprimidos,Millôr Fernandes
"Os nossos amigos poderão não saber muitas coisas, mas sabem sempre o que fariam no nosso lugar.",Millôr
"Quem afirma que não é feliz, poderia sê-lo com a felicidade do próximo, se a inveja lhe não tirasse esse último recurso.",Jean de la Bruyere
Todas as coisas me são lícitas; mas nem todas convêm.,Paulo de Tarso
Quem perde seus bens perde muito; quem perde um amigo perde mais; mas quem perde a coragem perde tudo.,Miguel de Cervantes
"Tal como o espaço vazio numa pintura, o tempo em que nada acontece tem seu propósito.",De Bono
"DialéticaÉ claro que a vida é boa E a alegria, a única indizível emoção É claro que te acho linda Em ti bendigo o amor das coisas simples É claro que te amo E tenho tudo para ser feliz Mas acontece que eu sou triste...",Vinicius de Moraes
"Botas...as botas apertadas são uma das maiores venturas da terra, porque, fazendo doer os pés, dão azo ao prazer de as descalçar.",Machado de Assis
"Comece fazendo o que é necessário, depois o que é possível, e de repente você estará fazendo o impossível.",São Francisco de Assis
"Há homens que devem à esposa tudo o que são, mas em geral, os homens devem à esposa tudo o que devem.",Millôr
"Quando um técnico vai tratar com imbecis, deve levar um imbecil como técnico.",Millôr Fernandes
"O tempo não existe, só existe o passar do tempo.",Millôr Fernandes
Não poucas vezes esbarramos com o nosso destino pelos caminhos que escolhemos para fugir dele.,Jean de La Fontaine
"Venham enfim as altas alegrias,As ardentes auroras, as noites calmas,Venha a paz desejada, as harmonias,E o resgate do fruto, e a flor das almas.Que venham, meu amor, porque estes diasSão de morte cansada,De raiva e agoniasE nada.",José Saramago
"É imoral pretender que uma coisa desejada se realize magicamente, simplesmente porque a desejamos. Só é moral o desejo acompanhado da severa vontade de prover os meios da sua execução.",José Ortega y Gasset
A educação para o sofrimento evitaria senti-lo com relação a casos que não o merecem.,Carlos Drummond de Andrade
É muito fácil viver com pouco desde que a pessoa não gaste muito para ocultar que tem pouco.,Millôr Fernandes
"Não tive filhos, não transmiti a nenhuma criatura o legado de nossa miséria.",Machado de Assis
"Mesmo que a rota da minha vida me conduza a uma estrela, nem por isso fui dispensado de percorrer os caminhos do mundo.",José Saramago
Na poça da ruao vira-latalambe a lua,Millôr Fernandes
"Há um tempo em que é preciso abandonar as roupas usadas, que já tem a forma do nosso corpo, e esquecer os nossos caminhos, que nos levam sempre aos mesmos lugares. É o tempo da travessia: e, se não ousarmos fazê-la, teremos ficado, para sempre, à margem de nós mesmos.",Fernando Teixeira de Andrade
O pior não é morrer. É não poder espantar as moscas.,Millôr
"Com muita sabedoria, estudando muito, pensando muito, procurando compreender tudo e todos, um homem consegue, depois de mais ou menos quarenta anos de vida, aprender a ficar calado.",Millôr Fernandes
"A morte tem um sabor a terra. E a angústia, um sabor a fel.",José Gorostiza
Para obter êxito no mundo temos de parecer loucos mas sermos espertos.,Barão de Montesquieu
"Bom dia, amigoQue a paz seja contigoEu vim somente dizerQue eu te amo tantoQue vou morrerAmigo... adeus",Vinicius de Moraes
"Anatomia é uma coisa que os homens também têm, mas que, nas mulheres, fica muito melhor.",Millôr Fernandes
O amor é a única paixão que não admite nem passado nem futuro.,Honoré de Balzac
A vida sem luta é um mar morto no centro do organismo universal.,Machado de Assis
O mal de se tratar um inferior como igual é que ele logo se julga superior,Millôr
No adultério há pelo menos três pessoas que se enganam.,Carlos Drummond de Andrade
Como são admiráveis as pessoas que nós não conhecemos bem.,Millôr Fernandes
"O importante não é o que se dá, mas o amor com que se dá.",Madre Teresa de Calcutá
"Não tenhamos pressa, mas não percamos tempo.",José Saramago
O coração das mães é um abismo no fundo do qual se encontra sempre um perdão.,Honoré de Balzac
"A inveja vê sempre tudo com lentes de aumento que transformam pequenas coisas em grandiosas, anões em gigantes, indícios em certezas.",Miguel de Cervantes
na imensa descidaa cataratase suicida,Millôr Fernandes
"Creia em si, mas não duvide sempre dos outros.",Machado de Assis
"O talento ou acaso não escolhem, para manisfestar-se, nem dias nem lugares.",José Saramago
"Eu quero ser o símbolo de algo, isso é o que acho que é vencer, quer dizer que você significou alguma coisa. Até onde eu sei Marilyn Monroe conquistou o mundo... ela significou algo.",Madonna
Viver é desenhar sem borracha.,Millôr
Os clássicos mudam muito de opinião para agradar os que os interpretam.,Millôr Fernandes
"Arranca metade do meu corpo, do meu coração, dos meus sonhos. Tira um pedaço de mim, qualquer coisa que me desfaça. Me recria, porque eu não suporto mais pertencer a tudo, mas não caber em lugar algum.",José Saramago
"Nunca devemos julgar as pessoas que amamos. O amor que não é cego, não é amor.",Honoré de Balzac
"Quando os eruditos descobriram a língua, ela já estava completamente pronta pelo povo. Os eruditos tiveram apenas que proibir o povo de falar errado",Millôr Fernandes
Você pode evitar descendentes. Mas não há nenhuma pílula para evitar certos antepassados.,Millôr Fernandes
Políticos e fraldas devem ser trocados de tempos em tempos pelo mesmo motivo.,Eça de Queirós
O fim da esperança é o começo da morte.,Charles de Gaulle
"Se as paixões aconselham por vezes mais ousadamente do que a reflexão, isso deve-se a que elas dão mais força para executar.",Luc de Clapiers Vauvenargues
O uísque é o melhor amigo do homem: é um cachorro engarrafado.,Vinicius de Moraes
"Quanto menos os homens pensam, mais eles falam.",Barão de Montesquieu
"Os lugares-comuns, as frases feitas, os bordões, os narizes-de-cera, as sentenças de almanaque, os rifões e provérbios, tudo pode aparecer como novidade, a questão está só em saber manejar adequadamente as palavras que estejam antes e depois.",José Saramago
"É tão natural destruir o que não se pode possuir, negar o que não se compreende, insultar o que se inveja.",Honoré de Balzac
"Deus, para a felicidade do homem, inventou a fé e o amor. O Diabo, invejoso, fez o homem confundir fé com religião e amor com casamento.",Machado de Assis
"Amai, porque nada melhor para a saúde que um amor correspondido.",Vinicius de Moraes
"Se todos os homens recebessem exatamente o que merecem, ia sobrar muito dinheiro no mundo.",Millôr Fernandes
"A vida é a arte do encontro, embora haja tanto desencontro pela vida.",Vinicius de Moraes
"Numa vida média de 50 anos, 80 a 100 dias são empregados pelos homens só no ato de fazer a barba. Ignora-se o que as mulheres fazem com esse tempo.",Millôr
Acreditar que não acreditamos em nada é crer na crença do descrer.,Millôr
Amor e desejo são coisas diferentes. Nem tudo o que se ama se deseja e nem tudo o que se deseja se ama.,Miguel de Cervantes
"Com pesos dúvidos me sujeito à balança até hoje recusada de saber o que mais vale:Se julgar, assistir ou ser julgado.Ponho no prato raso quanto sou.",José Saramago
"Uma palavra grosseira, uma expressão bizarra, ensinou-me por vezes mais do que dez belas frases.",Denis Diderot
"O amor é uma fonte inesgotável de reflexão, profunda como a eternidade, alta como o céu, vasta como o universo.",Alfred de Vigny
Não se pode ir longe na amizade sem se estar disposto a perdoar os pequenos defeitos um ao outro.,Jean de la Bruyere
"A propósito, não resistiremos a recordar que a morte, por si mesma, sozinha, sem qualquer ajuda externa, sempre matou muito menos que o homem.",José Saramago
"Química Sublimemos, amor. Assim as flores No jardim não morreram se o perfume No cristal da essência se defende. Passemos nós as provas, os ardores: Não caldeiam instintos sem o lume Nem o secreto aroma que rescende.",José Saramago
Eu não sou homem que recuse elogios. Amo-os; eles fazem bem à alma e até ao corpo. As melhores digestões da minha vida são as dos jantares em que sou brindado.,Machado de Assis
"Democracia é quando eu mando em você, ditadura é quando você manda em mim.",Millôr
"Se não formos capazes de viver inteiramente como pessoas, ao menos façamos tudo para não viver inteiramente como animais.",José Saramago
Aprenda como se você fosse viver para sempre. Viva como se você fosse morrer amanhã.,Santo Isidoro de Sevilha
"A minha vontade é forte, porém minha disposição de obedecer-lhe é fraca.",Carlos Drummond de Andrade
"Se durar muito tempo, a popularidade acaba tornando a pessoa impopular",Millôr
A Academia Brasileira de Letras se compõe de 39 membros e 1 morto rotativo...,Millôr
A morte parece menos terrível quando se está cansado.,Simone de Beauvoir
O mundo é grande e cabe nesta janela sobre o mar. O mar é grande e cabe na cama e no colchão de amar. O amor é grande e cabe no breve espaço de beijar.,Carlos Drummond de Andrade
"Esquecer é uma necessidade. A vida é uma lousa, em que o destino, para escrever um novo caso, precisa de apagar o caso escrito.",Machado de Assis
O aumento da canalhice é o resultado da má distribuição de renda,Millôr
O amor sem esperança não tem outro refúgio senão a morte.,José de Alencar
Arriscamo-nos a perder quando queremos ganhar demais.,Jean de La Fontaine
O dinheiro não é só facilmente dobrável como dobra facilmente qualquer um.,Millôr
A verdade é que a maior parte das pessoas foge de tentações que nem se dão ao trabalho de tentá-las.,Millôr Fernandes
Nos dias quotidianosÉ que se passamOs anos,Millôr Fernandes
"O que dá o verdadeiro sentido ao encontro é a busca, e é preciso andar muito para se alcançar o que está perto.",José Saramago
Não é que com a idade você aprenda muitas coisas; mas você aprende a ocultar melhor o que ignora.,Millôr Fernandes
O mal do mundo é que Deus envelheceu e o Diabo evoluiu.,Millôr Fernandes
"Isso é quem eu souVocê pode gostar, ou nãoVocê pode me amar ou me deixarPorque eu nunca vou parar, não, não, você sabe(Like it or not)",Madonna
"O amor é como a guerra; fácil de começar, e muito difícil de terminar.",Ninon de Lenclos
Morrer é uma coisa que se deve deixar sempre pra depois,Millôr Fernandes
O cara só é sinceramente ateu quando está muito bem de saúde.,Millôr
"A única maneira de liquidar o dragão é cortar-lhe a cabeça, aparar-lhe as unhas não serve de nada.",José Saramago
"É mais fácil ser amante do que marido, pois é mais fácil dizer coisas bonitas de vez em quando do que ser espirituoso dias e anos a fio..",Honoré de Balzac
coisa rara:teu espelhotem minha cara,Millôr Fernandes
A mentira é muita vezes tão involuntária como a respiração.,Machado de Assis
As academias coroam com igual zelo o talento e a ausência dele.,Carlos Drummond de Andrade
Há muitas razões para duvidar e uma só para crer.,Carlos Drummond de Andrade
Um coração feliz é o resultado inevitável de um coração ardente de amor.,Madre Teresa de Calcutá
Antigamente os animais falavam. Hoje escrevem.,Millôr Fernandes
A saudade diminuiu ou fomos nós que envelhecemos?,Millôr Fernandes
A única diferença entre a loucura e a saúde mental é que a primeira é muito mais comum.,Millôr Fernandes
A beleza que seduz poucas vezes coincide com a beleza que faz apaixonar.,José Ortega y Gasset
Não há alegria pública que valha uma boa alegria particular.,Machado de Assis
Há livros escritos para evitar espaços vazios na estante.,Carlos Drummond de Andrade
"Nada é para sempre, dizemos, mas há momentos que parecem ficar suspensos, pairando sobre o fluir inexorável do tempo.",José Saramago
Tenho apenas duas mãos e o sentimento do mundo.,Carlos Drummond de Andrade
O mundo é tão bonito e eu tenho tanta pena de morrer.,José Saramago
O hábito cria a aparência de lei; o progresso não tem inimigo maior que o hábito.,José Martí y Perez
Pode ser difícil encontrar agulha em palheiro. Mas não descalço.,Millôr Fernandes
O homem é o único animal que ri. E é rindo que ele mostra o animal que é,Millôr
"Se podes olhar, vê. Se podes ver, repara.",José Saramago
Uma pitada de poesia é suficiente para perfumar um século inteiro.,José Martí
E convém não esquecer que bitributação é quando arrancam seis vezes o dinheiro do cidadão. Pois o normal já é tributação.,Millôr Fernandes
Suporta-se com paciência a cólica dos outros.,Machado de Assis
EsnobarÉ exigir café fervendoE deixar esfriar.,Millôr Fernandes
A falta de amor é a maior de todas as pobrezas.,Madre Teresa de Calcutá
Quem gosta de escrever cartas para os jornais não deve ter namorada.,Carlos Drummond de Andrade
O melhor movimento feminino ainda é o dos quadris.,Millôr Fernandes
